index,sample,etchlevel,etchtime,oxide_thickness_nm,thickness_err_nm
0,ReTa03,0,0.0,1.0304527813083053,0.12618920753124535
1,ReTa03,1,10.013,0.6090309970979465,0.35927642845534796
2,ReTa03,2,20.026,0.6212504457548906,0.38994757952481296
3,ReTa03,3,30.038,0.6135740434593343,0.3664958733933312
4,ReTa03,4,40.051,0.6206395985324833,0.3962616643983288
5,ReTa03,5,50.064,0.6131912303561886,0.37654521386986023
6,ReTa03,6,60.077,0.6090653171953438,0.38089524064353825
7,ReTa03,7,70.09,0.6165558295265131,0.3878389691276348
8,ReTa03,8,80.103,0.6080321831669494,0.36093750189450174
9,ReTa03,9,90.115,0.6087179291462236,0.38280647816829066
10,ReTa04,0,0.0,1.1812924263512004,0.14933587128241477
11,ReTa04,1,10.013,0.6289934302818894,0.305531915677129
12,ReTa04,2,20.026,0.6366848383444861,0.34064157791228256
13,ReTa04,3,30.039,0.6378465879842896,0.3389757126293857
14,ReTa04,4,40.051,0.6407921233360652,0.3545226710096673
15,ReTa04,5,50.063,0.6367258189545868,0.3669098311218707
16,ReTa04,6,60.076,0.6344249564318424,0.3723660886048056
17,ReTa04,7,70.089,0.6418039990344451,0.38895250095234396
18,ReTa04,8,80.101,0.6375650326180333,0.3602387685998856
19,ReTa04,9,90.114,0.6244937427367219,0.31442550414872117
