sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV
BOE_WK0,BOE,Ta4f,Ta metal,7/2,22.0,22.433097533852028,0.003161337719706937,0.43309753385202754
BOE_WK0,BOE,Ta4f,Ta metal,5/2,23.9,24.343097533852028,0.0031613377123614096,0.4430975338520291
BOE_WK0,BOE,Ta4f,Ta interface,7/2,22.4,22.731568754134322,0.016575910888448314,0.33156875413432374
BOE_WK0,BOE,Ta4f,Ta interface,5/2,24.3,24.641568754134322,0.016575910888448314,0.34156875413432175
BOE_WK0,BOE,Ta4f,Ta alloy,7/2,24.0,24.933097533851708,0.003161337758010706,0.9330975338517078
BOE_WK0,BOE,Ta4f,Ta alloy,5/2,25.9,26.843097533851708,0.003161337758010706,0.9430975338517094
BOE_WK0,BOE,Ta4f,Ta+1,7/2,22.7,22.599572581958753,0.056392311299638495,-0.10042741804124589
BOE_WK0,BOE,Ta4f,Ta+1,5/2,24.6,24.509572581958754,0.056392311193266605,-0.09042741804124788
BOE_WK0,BOE,Ta4f,Ta+3,7/2,24.2,23.675370302414994,0.10660834231065275,-0.5246296975850058
BOE_WK0,BOE,Ta4f,Ta+3,5/2,26.1,25.585370302414994,0.10660834245998721,-0.5146296975850078
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.8764984374525,0.009881868001099905,-0.9235015625475
BOE_WK0,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.7864984374525,0.0098818680100044,-0.9135015625474985
BOE_WK1,BOE,Ta4f,Ta metal,7/2,22.0,22.425508426445635,0.0,0.425508426445635
BOE_WK1,BOE,Ta4f,Ta metal,5/2,23.9,24.335508426445635,0.0,0.4355084264456366
BOE_WK1,BOE,Ta4f,Ta interface,7/2,22.4,22.752993450542174,0.0,0.3529934505421757
BOE_WK1,BOE,Ta4f,Ta interface,5/2,24.3,24.662993450542174,0.0,0.3629934505421737
BOE_WK1,BOE,Ta4f,Ta alloy,7/2,24.0,23.963484629178016,0.0,-0.036515370821984305
BOE_WK1,BOE,Ta4f,Ta alloy,5/2,25.9,25.873484629178016,0.0,-0.026515370821982742
BOE_WK1,BOE,Ta4f,Ta+1,7/2,22.7,22.182032781200625,0.0,-0.5179672187993738
BOE_WK1,BOE,Ta4f,Ta+1,5/2,24.6,24.092032781200626,0.0,-0.5079672187993758
BOE_WK1,BOE,Ta4f,Ta+3,7/2,24.2,23.50000000000001,0.0,-0.6999999999999886
BOE_WK1,BOE,Ta4f,Ta+3,5/2,26.1,25.41000000000001,0.0,-0.6899999999999906
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.857319197008437,0.0,-0.9426808029915641
BOE_WK1,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.767319197008437,0.0,-0.9326808029915625
BOE_WK2,BOE,Ta4f,Ta metal,7/2,22.0,22.42118372902673,0.0071744862741131505,0.42118372902672974
BOE_WK2,BOE,Ta4f,Ta metal,5/2,23.9,24.33118372902673,0.007174486266530473,0.4311837290267313
BOE_WK2,BOE,Ta4f,Ta interface,7/2,22.4,22.760434359206236,0.01090145370043391,0.3604343592062378
BOE_WK2,BOE,Ta4f,Ta interface,5/2,24.3,24.670434359206237,0.01090145370043391,0.3704343592062358
BOE_WK2,BOE,Ta4f,Ta alloy,7/2,24.0,24.836878279033055,0.5004070621490503,0.8368782790330549
BOE_WK2,BOE,Ta4f,Ta alloy,5/2,25.9,26.746878279033055,0.5004070621490503,0.8468782790330565
BOE_WK2,BOE,Ta4f,Ta+1,7/2,22.7,22.031640497952242,0.15303542277319343,-0.6683595020477568
BOE_WK2,BOE,Ta4f,Ta+1,5/2,24.6,23.941640497952243,0.15303542299325015,-0.6583595020477588
BOE_WK2,BOE,Ta4f,Ta+3,7/2,24.2,23.500000000000068,8.705516146086111e-08,-0.6999999999999318
BOE_WK2,BOE,Ta4f,Ta+3,5/2,26.1,25.410000000000068,8.705516146086096e-08,-0.6899999999999338
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),7/2,26.8,25.936579503312345,0.0037533298057645854,-0.863420496687656
BOE_WK2,BOE,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.846579503312345,0.00375332980034567,-0.8534204966876544
BOE_WK3,BOE,Ta4f,Ta metal,7/2,22.0,22.41803313885718,0.0,0.4180331388571794
BOE_WK3,BOE,Ta4f,Ta metal,5/2,23.9,24.32803313885718,0.0,0.428033138857181
BOE_WK3,BOE,Ta4f,Ta interface,7/2,22.4,22.749002135455147,0.0,0.349002135455148
BOE_WK3,BOE,Ta4f,Ta interface,5/2,24.3,24.659002135455147,0.0,0.35900213545514603
BOE_WK3,BOE,Ta4f,Ta alloy,7/2,24.0,24.430880960790354,0.0,0.4308809607903541
BOE_WK3,BOE,Ta4f,Ta alloy,5/2,25.9,26.340880960790354,0.0,0.44088096079035566
