sample,species,normalized_amplitude,stderr_normalized
BOE_WK0,Re_metal,0.7337712284181458,0.11514900717168383
BOE_WK0,Redp1,2.8208499200142187e-19,0.15387404052996947
BOE_WK0,Redp2,1.7312515899608186e-17,0.06455894084235397
BOE_WK0,Redp3,0.11159674761156811,0.02597509563767863
BOE_WK0,ReO2,0.05330383785152,0.01589184426525811
BOE_WK0,ReO3,0.09838584503473077,0.01261656880325848
BOE_WK0,Re2O7,0.0029423410840352195,0.0012313773788291506
BOE_WK1,Re_metal,0.6111853954276228,0.10574587165181264
BOE_WK1,Redp1,3.185284418193595e-16,0.1380698538890755
BOE_WK1,Redp2,0.018105142623511837,0.05023583598392239
BOE_WK1,Redp3,0.06282019836447658,0.026116008897257376
BOE_WK1,ReO2,0.12437096877278876,0.05317141906970269
BOE_WK1,ReO3,0.08640227404088999,0.0319784498016468
BOE_WK1,Re2O7,0.09711602077070979,0.002177148932997155
BOE_WK2,Re_metal,0.5729149475659255,0.12367843499721284
BOE_WK2,Redp1,5.753333957960351e-12,0.16090203323899632
BOE_WK2,Redp2,0.015344069509156455,0.059613778162948196
BOE_WK2,Redp3,0.062426104632760215,0.027957709878639894
BOE_WK2,ReO2,0.11718911334529318,0.05354748420269197
BOE_WK2,ReO3,0.08776174600854669,0.034383981521137474
BOE_WK2,Re2O7,0.14436401893256454,0.0025070831829095046
BOE_WK3,Re_metal,0.5977993292160841,0.12520244206724224
BOE_WK3,Redp1,1.317377865778946e-14,0.16343553064967964
BOE_WK3,Redp2,0.01623942559443633,0.06044240848420481
BOE_WK3,Redp3,0.06547987830029922,0.030079413366785997
BOE_WK3,ReO2,0.11841369848401295,0.06724210066277012
BOE_WK3,ReO3,0.08438101431248238,0.04355057624475974
BOE_WK3,Re2O7,0.11768665409267182,0.002430176856077821
Control_WK0,Re_metal,0.7188728810653783,0.1310790307276646
Control_WK0,Redp1,2.208236878842168e-32,0.17187301867218646
Control_WK0,Redp2,3.977463436386812e-30,0.06694301491459818
Control_WK0,Redp3,0.09565352193028719,0.02951792361236494
Control_WK0,ReO2,0.061040644811635736,0.025123306301540776
Control_WK0,ReO3,0.0832055164238589,0.014098499042714945
Control_WK0,Re2O7,0.04122743576883993,0.001933589609093214
Control_WK1,Re_metal,0.7171018930347062,0.14292306475138325
Control_WK1,Redp1,1.5819471381811567e-11,0.1871044835167393
Control_WK1,Redp2,0.004786362018864933,0.0743081820820153
Control_WK1,Redp3,0.10079123899374344,0.02984018835278653
Control_WK1,ReO2,0.04917069395164638,0.017939438357049083
Control_WK1,ReO3,0.0842933315395023,0.012363120367885696
Control_WK1,Re2O7,0.04385648044571721,0.0021300652940013922
Control_WK2,Re_metal,0.7143011142214332,0.1444301397282376
Control_WK2,Redp1,5.308817892674809e-13,0.18919725722572348
Control_WK2,Redp2,0.0032752422575369655,0.0751487616844969
Control_WK2,Redp3,0.10217539997197254,0.02986863767630092
Control_WK2,ReO2,0.04750201272150965,0.017381570055842004
Control_WK2,ReO3,0.08621167397105368,0.011946032911749054
Control_WK2,Re2O7,0.046534556855963145,0.0022011930142105973
Control_WK3,Re_metal,0.7140202834924572,0.1398006579151159
Control_WK3,Redp1,8.420296005706699e-14,0.1836057127720173
Control_WK3,Redp2,5.4709780758880664e-15,0.07273509539082848
Control_WK3,Redp3,0.10224464056841012,0.02885054216325906
Control_WK3,ReO2,0.04969343746367603,0.017609716255690064
Control_WK3,ReO3,0.0846853512082454,0.011614563784108876
Control_WK3,Re2O7,0.04935628726712167,0.0021074209861422287
