sample,species,normalized_amplitude,stderr_normalized
BOE_WK0,metal,0.4333596987571069,0.009215091848205957
BOE_WK0,Ta5,0.3182917058772043,0.004797505784667286
BOE_WK0,Ta3,0.041725704586425105,0.006010025887901401
BOE_WK0,Ta1,0.10062877387023689,0.01390107309501162
BOE_WK0,interface,0.10382102909477872,0.0003607897002737135
BOE_WK0,alloy,0.002173087814247995,0.005273536422111207
BOE_WK1,metal,0.3026343027944938,0.0
BOE_WK1,Ta5,0.4983513329115353,0.0
BOE_WK1,Ta3,0.05477837452473306,0.0
BOE_WK1,Ta1,0.038952441032498876,0.0
BOE_WK1,interface,0.10528354873673886,0.0
BOE_WK1,alloy,0.0,0.0
BOE_WK2,metal,0.27504535752468934,0.008270852871402978
BOE_WK2,Ta5,0.5353024178196261,0.0033869598702846314
BOE_WK2,Ta3,0.05110492632711466,0.0034372435952189457
BOE_WK2,Ta1,0.03229720388786363,0.0064473811040369295
BOE_WK2,interface,0.10522270296524339,0.0003462217809341609
BOE_WK2,alloy,0.0010273914754627756,0.0034145221276773914
BOE_WK3,metal,0.2786780036315009,0.0
BOE_WK3,Ta5,0.5190461259754038,0.0
BOE_WK3,Ta3,0.05666003471387748,0.0
BOE_WK3,Ta1,0.04007259904134211,0.0
BOE_WK3,interface,0.10554323663787403,0.0
BOE_WK3,alloy,1.7576479711327422e-15,0.0
Control_WK0,metal,0.1793868199002596,0.003027390512172331
Control_WK0,Ta5,0.6507692729258894,0.0022327453346516917
Control_WK0,Ta3,0.030430742717908906,0.002447082638619442
Control_WK0,Ta1,0.018949610650780845,0.003088018950020181
Control_WK0,interface,0.10609443007506626,0.000309484414276466
Control_WK0,alloy,0.014369123730095005,0.002717360805029699
Control_WK1,metal,0.182703969572539,0.018388753456320763
Control_WK1,Ta5,0.6536162825137849,0.002903414825048744
Control_WK1,Ta3,0.03301935835520664,0.002754739267549281
Control_WK1,Ta1,0.016391460011418266,0.003656067794501366
Control_WK1,interface,0.10476203265758824,0.018223108706581483
Control_WK1,alloy,0.009506896889463061,0.0032331363596226565
Control_WK2,metal,0.18654435425505222,0.01773291700095799
Control_WK2,Ta5,0.6565321780899932,0.0030296846105133247
Control_WK2,Ta3,0.030584414401707796,0.002628708680848492
Control_WK2,Ta1,0.01889586443291374,0.003439706952434044
Control_WK2,interface,0.09528338860803387,0.017466180096727936
Control_WK2,alloy,0.012159800212299248,0.0032452542890209885
Control_WK3,metal,0.17872429349211513,0.019500706654518456
Control_WK3,Ta5,0.6560286883788555,0.0029874364692075053
Control_WK3,Ta3,0.032867807861661255,0.0027853458891305906
Control_WK3,Ta1,0.01687141674504489,0.0035356812779072247
Control_WK3,interface,0.10513641934351099,0.019170355741566152
Control_WK3,alloy,0.010371374178812247,0.003186676893856864
