index,sample,etchlevel,etchtime,redchi,Re_metal_frac,Re_metal_err,Redp1_frac,Redp1_err,Redp2_frac,Redp2_err,Redp3_frac,Redp3_err,ReO2_frac,ReO2_err,ReO3_frac,ReO3_err,Re2O7_frac,Re2O7_err
0,BOE_WK0,,,7.664966957952438,0.7337710988724929,0.002516957587004493,5.957860892019038e-15,1.4753582898109372e-08,3.047150227215844e-15,1.1253173457770088e-08,0.11159696615285286,0.0036596956684742713,0.053303537094362745,0.005691986938962916,0.09838604222446118,0.0039209127758993,0.002942355655821394,0.000891597945420042
1,BOE_WK1,,,7.181098373151459,0.6111835901098941,0.007798211265384369,3.2149776649783765e-14,4.4776625081761914e-08,0.018107183771517824,0.009120078428085123,0.0628182317773799,0.007933024757139794,0.124371755217193,0.0037633690878678522,0.08640310159481117,0.003884313833978641,0.09711613752917195,0.0013943969556777461
2,BOE_WK2,,,8.032929830205346,0.5729152702068343,0.008785306669974145,3.5639010335760514e-13,1.9009325687001304e-07,0.015343661221612454,0.010465788794487495,0.06242737086664092,0.00893252571042361,0.11718884320627307,0.003777428517844792,0.08776097958499603,0.0044923936168277355,0.14436387491328684,0.0016551567438158174
3,BOE_WK3,,,7.769350521231489,0.5978002531035768,0.009044460735182223,1.4910155027461688e-12,3.6191433342865165e-07,0.016238333469399083,0.010672357970494904,0.06548194072608143,0.009205631826408368,0.11841321570853257,0.004092438586141372,0.0843797243989445,0.00491969044000435,0.11768653259197455,0.0015787577743993975
4,Control_WK0,,,5.151220858185148,0.7188729450083013,0.002657425797640264,3.1539841482780256e-13,1.2006896906794108e-07,5.900387671264114e-16,5.719048183965651e-09,0.09565589354049843,0.004923305461797947,0.06103602625408824,0.008949262709658774,0.08320780152855509,0.004767542622704945,0.041227333668241,0.001422827496224574
5,Control_WK1,,,5.824241908177244,0.7171012641738627,0.008165155708869056,3.6225822872858047e-16,5.857485475441145e-09,0.004786930904067988,0.010088514925101304,0.10079159733777587,0.006687103296566345,0.04916990732372283,0.00646694122744525,0.08429383838345125,0.0037920788174241474,0.04385646187711897,0.0015884228708875937
6,Control_WK2,,,5.742204169056648,0.7143004898348663,0.008197215913678073,1.4318472671568796e-13,1.1538423626516154e-07,0.0032758097638221793,0.010166795681177263,0.10217570464632696,0.006730008193485877,0.04750132852102511,0.006272772761035898,0.08621212542469973,0.0037029331555134114,0.0465345418091165,0.001628830058042875
7,Control_WK3,,,5.121252608151089,0.7140198825972353,0.002889965737757833,5.9825896814812616e-15,1.767850039181822e-08,1.6769380167788385e-15,8.324250393271914e-09,0.10224629162135102,0.004178421584926796,0.04969093361032889,0.00573117461544795,0.08468666983231916,0.003605353447002487,0.04935622233875801,0.0015373368732995339
